GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
pos-app,com.increff.posapp.pojo,BrandPojo,29,17,0,0,2,4,3,5,3,5
pos-app,com.increff.posapp.pojo,OrderPojo,44,3,0,0,9,2,6,1,6,1
pos-app,com.increff.posapp.pojo,UserPojo,55,3,0,0,6,1,9,1,9,1
pos-app,com.increff.posapp.pojo,InventoryPojo,43,3,0,0,5,1,7,1,7,1
pos-app,com.increff.posapp.pojo,ProductPojo,67,3,0,0,7,1,11,1,11,1
pos-app,com.increff.posapp.pojo,OrderItemPojo,67,3,0,0,7,1,11,1,11,1
pos-app,com.increff.posapp.service,ProductService,148,3,10,0,41,1,19,1,14,1
pos-app,com.increff.posapp.service,InventoryService,103,3,6,0,27,1,11,1,8,1
pos-app,com.increff.posapp.service,UserService,49,3,2,0,13,1,6,1,5,1
pos-app,com.increff.posapp.service,OrderItemService,146,3,10,0,39,1,19,1,14,1
pos-app,com.increff.posapp.service,ApiException,4,0,0,0,2,0,1,0,1,0
pos-app,com.increff.posapp.service,BrandService,106,33,9,1,29,10,15,4,10,4
pos-app,com.increff.posapp.service,OrderService,161,3,14,0,42,1,22,1,15,1
pos-app,com.increff.posapp.service,AboutAppService,0,9,0,0,0,3,0,3,0,3
pos-app,com.increff.posapp.controller,InitApiController,56,3,2,0,15,1,4,1,3,1
pos-app,com.increff.posapp.controller,AppUiController,46,3,0,0,11,1,11,1,11,1
pos-app,com.increff.posapp.controller,AbstractUiController,70,3,4,0,14,1,4,1,2,1
pos-app,com.increff.posapp.controller,AboutApiController,16,3,0,0,4,1,1,1,1,1
pos-app,com.increff.posapp.controller,SiteUiController,20,3,0,0,5,1,5,1,5,1
pos-app,com.increff.posapp.controller,InventoryReportController,20,3,0,0,4,1,4,1,4,1
pos-app,com.increff.posapp.controller,AppRestControllerAdvice,27,3,0,0,6,1,2,1,2,1
pos-app,com.increff.posapp.controller,LoginController,87,3,6,0,19,1,6,1,3,1
pos-app,com.increff.posapp.controller,InventoryController,20,3,0,0,6,1,4,1,4,1
pos-app,com.increff.posapp.controller,OrderController,14,3,0,0,4,1,3,1,3,1
pos-app,com.increff.posapp.controller,SampleController,43,3,0,0,11,1,1,1,1,1
pos-app,com.increff.posapp.controller,ProductController,20,3,0,0,6,1,4,1,4,1
pos-app,com.increff.posapp.controller,SalesReportController,9,3,0,0,2,1,2,1,2,1
pos-app,com.increff.posapp.controller,BrandController,22,3,0,0,6,1,4,1,4,1
pos-app,com.increff.posapp.controller,BrandReportController,20,3,0,0,4,1,4,1,4,1
pos-app,com.increff.posapp.controller,AdminApiController,75,3,2,0,21,1,6,1,5,1
pos-app,com.increff.posapp.dao,InventoryInMemDao,58,9,0,0,12,3,5,2,5,2
pos-app,com.increff.posapp.dao,ProductDao,155,26,0,0,35,12,13,2,13,2
pos-app,com.increff.posapp.dao,OrderInMemDao,58,9,0,0,12,3,5,2,5,2
pos-app,com.increff.posapp.dao,UserDao,58,12,0,0,14,5,6,2,6,2
pos-app,com.increff.posapp.dao,OrderItemDao,153,26,0,0,35,12,13,2,13,2
pos-app,com.increff.posapp.dao,InventoryDao,99,18,0,0,23,8,9,2,9,2
pos-app,com.increff.posapp.dao,OrderItemInMemDao,58,9,0,0,12,3,5,2,5,2
pos-app,com.increff.posapp.dao,BrandInMemDao,63,9,0,0,15,3,5,2,5,2
pos-app,com.increff.posapp.dao,BrandDao,138,47,0,0,30,16,9,4,9,4
pos-app,com.increff.posapp.dao,OrderDao,114,20,0,0,27,9,10,2,10,2
pos-app,com.increff.posapp.dao,ProductInMemDao,58,9,0,0,12,3,5,2,5,2
pos-app,com.increff.posapp.dao,AbstractDao,0,19,0,0,0,4,0,4,0,4
pos-app,com.increff.posapp.model,InventoryData,47,0,0,0,5,0,4,0,4,0
pos-app,com.increff.posapp.model,OrderData,41,0,0,0,6,0,8,0,8,0
pos-app,com.increff.posapp.model,ProductData,74,0,0,0,8,0,6,0,6,0
pos-app,com.increff.posapp.model,BrandForm,17,0,0,0,4,0,5,0,5,0
pos-app,com.increff.posapp.model,OrderItemData,52,0,0,0,9,0,15,0,15,0
